class,class_id
com_google_security_zynamics_zylib_gui_FileChooser_FileChooserPanel,0
com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange,1
com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRangeManager,2
com_google_security_zynamics_zylib_gui_JHexPanel_SimpleDataProvider,3
com_google_security_zynamics_zylib_gui_jtree_IconNode,4
com_google_security_zynamics_zylib_gui_JCaret_JCaret,5
com_google_security_zynamics_zylib_gui_JStackView_JStackView,6
com_google_security_zynamics_zylib_gui_JHexPanel_JHexView,7
com_google_security_zynamics_zylib_gui_jtree_TreeHelpers,8
com_google_security_zynamics_zylib_gui_tables_CTableSorter,9
com_google_security_zynamics_zylib_gui_scripting_ScriptingLanguage,10
com_google_security_zynamics_zylib_gui_textfields_JTextFieldLimit,11
com_google_security_zynamics_zylib_gui_scripting_ScriptRunner,12
com_google_security_zynamics_zylib_gui_scripting_AbstractScriptPanel,13
com_google_security_zynamics_zylib_gui_JStackView_IStackModel,14
com_google_security_zynamics_zylib_gui_JStackView_IStackModelListener,15
com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge,16
com_google_security_zynamics_zylib_gui_zygraph_editmode_IStateAction,17
com_google_security_zynamics_zylib_gui_zygraph_helpers_GraphConverters,18
com_google_security_zynamics_zylib_gui_zygraph_nodes_CViewNode,19
com_google_security_zynamics_zylib_gui_zygraph_nodes_ICodeNode,20
com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior,21
com_google_security_zynamics_zylib_gui_zygraph_AbstractZyGraphSettings,22
com_google_security_zynamics_zylib_gui_zygraph_CDefaultLabelEventHandler,23
com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,24
com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting,25
com_google_security_zynamics_zylib_gui_zygraph_nodes_IViewNode,26
com_google_security_zynamics_zylib_gui_zygraph_editmode_states_CBackgroundClickedLeftState,27
com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CCursorKeyBehavior,28
com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLineContent,29
com_google_security_zynamics_zylib_types_common_CollectionHelpers,30
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_AbstractZyGraph,31
com_google_security_zynamics_zylib_types_graphs_MutableDirectedGraph,32
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters,33
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_IZyGraphListener,34
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyGraphEdge,35
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyInfoEdge,36
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_actions_CDefaultNodeEnterAction,37
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_ZyGraphMappings,38
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_states_CBendClickedLeftState,39
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_proximity_ZyDefaultProximityBrowser,40
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_states_CEdgePressedLeftState,41
com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_functions_ZoomFunctions,42
com_google_security_zynamics_binnavi_Database_MockClasses_MockDatabase,43
com_google_security_zynamics_binnavi_Debug_Connection_CMockReader,44
com_google_security_zynamics_binnavi_Debug_Debugger_MockDebugger,45
com_google_security_zynamics_binnavi_Debug_Debugger_DebuggerMessageBuilder,46
com_google_security_zynamics_binnavi_Gui_MainWindow_ProjectTree_Nodes_Project_Component_CProjectSaveProgressOperation,47
com_google_security_zynamics_binnavi_API_debug_Bookmark,48
com_google_security_zynamics_binnavi_API_debug_BookmarkManager,49
com_google_security_zynamics_binnavi_API_debug_BreakpointHelpers,50
com_google_security_zynamics_binnavi_API_debug_Breakpoint,51
com_google_security_zynamics_binnavi_API_debug_BreakpointManager,52
com_google_security_zynamics_binnavi_API_debug_Debugger,53
com_google_security_zynamics_binnavi_API_debug_DebuggerAnyBreakpointHitReply,54
com_google_security_zynamics_binnavi_API_debug_Memory,55
com_google_security_zynamics_binnavi_API_debug_Process,56
com_google_security_zynamics_binnavi_API_debug_MemoryMap,57
com_google_security_zynamics_binnavi_API_debug_MemorySection,58
com_google_security_zynamics_binnavi_API_debug_MemoryModule,59
com_google_security_zynamics_binnavi_API_debug_TargetInformation,60
com_google_security_zynamics_binnavi_API_debug_Thread,61
com_google_security_zynamics_binnavi_API_debug_Register,62
com_google_security_zynamics_binnavi_API_debug_TraceLogger,63
com_google_security_zynamics_binnavi_API_debug_BookmarkTest,64
com_google_security_zynamics_binnavi_API_debug_BookmarkManagerTest,65
com_google_security_zynamics_binnavi_API_debug_BreakpointTest,66
com_google_security_zynamics_binnavi_API_debug_BreakpointManagerTest,67
com_google_security_zynamics_binnavi_API_debug_raw_RegisterValues,68
com_google_security_zynamics_binnavi_API_debug_ThreadTest,69
com_google_security_zynamics_binnavi_API_disassembly_Address,70
com_google_security_zynamics_binnavi_API_disassembly_AddressSpace,71
com_google_security_zynamics_binnavi_API_disassembly_BasicBlock,72
com_google_security_zynamics_binnavi_API_disassembly_BlockEdge,73
com_google_security_zynamics_binnavi_API_disassembly_CodeNode,74
com_google_security_zynamics_binnavi_API_disassembly_CouldntConnectException,75
com_google_security_zynamics_binnavi_API_disassembly_CouldntLoadDataException,76
com_google_security_zynamics_binnavi_API_disassembly_Database,77
com_google_security_zynamics_binnavi_API_disassembly_DebuggerTemplate,78
com_google_security_zynamics_binnavi_API_disassembly_DatabaseManager,79
com_google_security_zynamics_binnavi_API_disassembly_Function,80
com_google_security_zynamics_binnavi_API_disassembly_DebuggerTemplateManager,81
com_google_security_zynamics_binnavi_API_disassembly_FlowGraph,82
com_google_security_zynamics_binnavi_API_disassembly_FunctionEdge,83
com_google_security_zynamics_binnavi_API_disassembly_FunctionBlock,84
com_google_security_zynamics_binnavi_API_disassembly_FunctionNode,85
com_google_security_zynamics_binnavi_API_disassembly_GroupNode,86
com_google_security_zynamics_binnavi_API_disassembly_IGraphNode,87
com_google_security_zynamics_binnavi_API_disassembly_IFunctionNodeListener,88
com_google_security_zynamics_binnavi_API_disassembly_InliningResult,89
com_google_security_zynamics_binnavi_API_disassembly_IInstructionListener,90
com_google_security_zynamics_binnavi_API_disassembly_Instruction,91
com_google_security_zynamics_binnavi_API_disassembly_Module,92
com_google_security_zynamics_binnavi_API_disassembly_Operand,93
com_google_security_zynamics_binnavi_API_disassembly_OperandExpression,94
com_google_security_zynamics_binnavi_API_disassembly_Project,95
com_google_security_zynamics_binnavi_API_disassembly_PartialLoadException,96
com_google_security_zynamics_binnavi_API_disassembly_TagManager,97
com_google_security_zynamics_binnavi_API_disassembly_Tag,98
com_google_security_zynamics_binnavi_API_disassembly_Reference,99
com_google_security_zynamics_binnavi_API_disassembly_TracePoint,100
com_google_security_zynamics_binnavi_API_disassembly_Trace,101
com_google_security_zynamics_binnavi_API_disassembly_View,102
com_google_security_zynamics_binnavi_API_disassembly_ViewEdge,103
com_google_security_zynamics_binnavi_API_disassembly_ViewGraphHelpers,104
com_google_security_zynamics_binnavi_API_disassembly_ViewNode,105
com_google_security_zynamics_binnavi_API_disassembly_FunctionTest,106
com_google_security_zynamics_binnavi_API_disassembly_ModuleTest,107
com_google_security_zynamics_binnavi_API_disassembly_ViewNodeTest,108
com_google_security_zynamics_binnavi_API_disassembly_ViewTest,109
com_google_security_zynamics_binnavi_API_helpers_TreeNode,110
com_google_security_zynamics_binnavi_API_plugins_IDatabaseMenuPlugin,111
com_google_security_zynamics_binnavi_API_plugins_IGraphMenuPlugin,112
com_google_security_zynamics_binnavi_API_plugins_PluginInterface,113
com_google_security_zynamics_binnavi_API_plugins_IProjectMenuPlugin,114
com_google_security_zynamics_binnavi_API_plugins_IProjectFolderMenuPlugin,115
com_google_security_zynamics_binnavi_API_reil_ReilBlock,116
com_google_security_zynamics_binnavi_API_reil_ReilEdge,117
com_google_security_zynamics_binnavi_API_plugins_PluginRegistry,118
com_google_security_zynamics_binnavi_API_reil_ReilInstruction,119
com_google_security_zynamics_binnavi_API_reil_ReilGraph,120
com_google_security_zynamics_binnavi_API_reil_ReilOperand,121
com_google_security_zynamics_binnavi_API_reil_mono_InstructionGraphNode,122
com_google_security_zynamics_binnavi_api2_plugins_IPlugin,123
com_google_security_zynamics_binnavi_config_ColorsConfigItem,124
com_google_security_zynamics_binnavi_config_ConfigManager,125
com_google_security_zynamics_binnavi_config_DatabaseConfigItem,126
com_google_security_zynamics_binnavi_config_DebugColorsConfigItem,127
com_google_security_zynamics_binnavi_config_GeneralSettingsConfigItem,128
com_google_security_zynamics_binnavi_config_GraphSettingsConfigItem,129
com_google_security_zynamics_binnavi_Database_AbstractModuleCreator,130
com_google_security_zynamics_binnavi_Database_AbstractSQLProvider,131
com_google_security_zynamics_binnavi_config_PluginConfigItem,132
com_google_security_zynamics_binnavi_Database_CDatabase,133
com_google_security_zynamics_binnavi_Database_CConnection,134
com_google_security_zynamics_binnavi_Database_CDatabaseConfiguration,135
com_google_security_zynamics_binnavi_Database_CDatabaseContent,136
com_google_security_zynamics_binnavi_Database_CDatabaseManager,137
com_google_security_zynamics_binnavi_Database_CDatabaseLoader,138
com_google_security_zynamics_binnavi_Database_CProjectViewFinder,139
com_google_security_zynamics_binnavi_Database_ContainerFinder,140
com_google_security_zynamics_binnavi_Database_CGenericSQLUserFunctions,141
com_google_security_zynamics_binnavi_Database_CModuleViewFinder,142
com_google_security_zynamics_binnavi_Database_DatabaseVersion,143
com_google_security_zynamics_binnavi_Database_DefaultDatabaseLoadProgressReporter,144
com_google_security_zynamics_binnavi_Database_CProjectViewGenerator,145
com_google_security_zynamics_binnavi_Database_PostgreSQLProvider,146
com_google_security_zynamics_binnavi_Database_cache_NodeCache,147
com_google_security_zynamics_binnavi_Database_Exceptions_CouldntConnectException,148
com_google_security_zynamics_binnavi_Database_Exceptions_InvalidDatabaseException,149
com_google_security_zynamics_binnavi_Database_cache_InstructionCache,150
com_google_security_zynamics_binnavi_Database_cache_EdgeCache,151
com_google_security_zynamics_binnavi_Database_Exceptions_CouldntInitializeDatabaseException,152
com_google_security_zynamics_binnavi_Database_Exceptions_CouldntLoadDataException,153
com_google_security_zynamics_binnavi_Database_Interfaces_IDatabase,154
com_google_security_zynamics_binnavi_Database_Interfaces_AddressSpaceContentBackend,155
com_google_security_zynamics_binnavi_Database_Interfaces_IDatabaseContent,156
com_google_security_zynamics_binnavi_Database_Exceptions_InvalidDatabaseVersionException,157
com_google_security_zynamics_binnavi_Database_Exceptions_CouldntUpdateDatabaseException,158
com_google_security_zynamics_binnavi_Database_Exceptions_CouldntSaveDataException,159
com_google_security_zynamics_binnavi_Database_Exceptions_CPartialLoadException,160
com_google_security_zynamics_binnavi_Database_Interfaces_IDatabaseListener,161
com_google_security_zynamics_binnavi_Database_Interfaces_IDatabaseManager,162
com_google_security_zynamics_binnavi_Database_Interfaces_SQLProvider,163
com_google_security_zynamics_binnavi_Database_Interfaces_ViewGenerator,164
com_google_security_zynamics_binnavi_Database_NodeParser_CCodeNodeParser,165
com_google_security_zynamics_binnavi_Database_NodeParser_ICodeNodeProvider,166
com_google_security_zynamics_binnavi_Database_NodeParser_InstructionLine,167
com_google_security_zynamics_binnavi_Database_NodeParser_InstructionConverter,168
com_google_security_zynamics_binnavi_Database_NodeParser_OperandTreeNode,169
com_google_security_zynamics_binnavi_Database_NodeParser_SqlCodeNodeProvider,170
com_google_security_zynamics_binnavi_Database_NodeParser_ParserException,171
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLAddressSpaceFunctions,172
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLDatabaseFunctions,173
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLEdgeFunctions,174
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLCommentFunctions,175
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLFunctionFunctions,176
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLInstructionFunctions,177
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLModuleFunctions,178
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLProjectFunctions,179
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLNodeFunctions,180
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLSettingsFunctions,181
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLSectionFunctions,182
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLRawModuleFunctions,183
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLTagFunctions,184
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLTraceFunctions,185
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLTypeFunctions,186
com_google_security_zynamics_binnavi_Database_PostgreSQL_Functions_PostgreSQLViewFunctions,187
com_google_security_zynamics_binnavi_Database_PostgreSQL_Loaders_PostgreSQLFunctionsLoader,188
com_google_security_zynamics_binnavi_Database_PostgreSQL_Loaders_PostgreSQLModuleFlowgraphsLoader,189
